type,size,cores,time,L1_DCM,L2_DCM,FP_INS,TOT_INS,FP_OPS,energy
2,1000,2,1.892,65342007,450031,1000000007,25540829536,1000000007,28.815191
2,1400,2,5.224,184092663,1101526,2744000007,70049569550,2744000007,75.570997
2,2000,2,15.288,564193888,3255154,8000000007,204160236159,8000000007,221.706033
2,1000,3,1.365,43655121,266947,666668007,17038703209,666668007,22.389178
2,1400,3,3.767,122939294,738379,1829335207,46723410014,1829335207,60.813505
2,2000,3,10.976,375248710,2270942,5333336007,136151619845,5333336007,178.465182
2,1000,4,1.031,32787443,184160,500000007,12787861325,500000007,20.836645
2,1400,4,2.839,92418029,557664,1372000007,35058810733,1372000007,56.479394
2,2000,4,8.305,281414718,1739417,4000000007,102146967467,4000000007,165.549727
2,1000,5,0.893,26267224,150213,400000007,10237790780,400000007,17.934986
2,1400,5,2.474,74560619,518945,1097600007,28058663841,1097600007,48.335117
2,2000,5,7.223,225788322,1319774,3200000007,81744615152,3200000007,142.254988
2,1000,6,0.752,21993344,157758,333334007,8537362948,333334007,17.357791
2,1400,6,2.080,61794838,383626,914667607,23395137716,914667607,46.530736
2,2000,6,6.110,188388591,1112823,2666668007,68142914396,2666668007,137.485138
2,1000,7,0.652,18892798,163455,285716007,7322799679,285716007,16.829742
2,1400,7,1.801,53588660,508467,784000007,20062506847,784000007,45.412874
2,2000,7,5.303,162122872,1186308,2285716007,58427399854,2285716007,132.181931
2,1000,8,0.582,16565880,145716,250000007,6411809435,250000007,16.225677
2,1400,8,1.611,46446400,335316,686000007,17563051546,686000007,43.407896
2,2000,8,4.714,141646659,888353,2000000007,51140711840,2000000007,126.905409
2,1000,9,0.706,14723803,110292,222224007,5703349758,222224007,16.963051
2,1400,9,1.967,41432881,311229,609778407,15619046209,609778407,44.766011
2,2000,9,5.645,184232829,561460,1777780007,45471280422,1777780007,135.602606
2,1000,10,0.641,13262587,81914,200000007,5136488650,200000007,16.668785
2,1400,10,1.807,37375074,274017,548800007,14063813557,548800007,44.026592
2,2000,10,5.300,165870735,527484,1600000007,40937352924,1600000007,128.577869
2,1000,11,0.609,12104165,79241,181820007,4672782436,181820007,15.721233
2,1400,11,1.720,50588422,165138,498909607,12790409931,498909607,41.628661
2,2000,11,4.947,130490614,601093,1454548007,37229912159,1454548007,124.467334
2,1000,12,0.581,11131741,77938,166668007,4286300524,166668007,15.432140
2,1400,12,1.589,46691234,154397,457335207,11729858063,457335207,41.253436
2,2000,12,4.647,95108901,542503,1333336007,34138609416,1333336007,122.466873
2,1000,13,0.594,11955687,69794,153848007,3957510867,153848007,15.064635
2,1400,13,1.639,28967110,212421,422156007,10833802747,422156007,40.976656
2,2000,13,4.788,128406340,383719,1230772007,31522896879,1230772007,121.386728
2,1000,14,0.582,11275223,86806,142858007,3676992760,142858007,14.874643
2,1400,14,1.537,45791301,145915,392000007,10063899892,392000007,40.937122
2,2000,14,4.553,135039413,329890,1142860007,29279488161,1142860007,118.902176
2,1000,15,0.563,8997128,61635,133334007,3436068515,133334007,14.435152
2,1400,15,1.536,42516857,121538,365867607,9398188886,365867607,39.672204
2,2000,15,4.462,126397986,334934,1066668007,27337711636,1066668007,117.266106
2,1000,16,0.545,10037542,61994,125000007,3223496693,125000007,14.305916
2,1400,16,1.500,43192643,92485,343000007,8813370711,343000007,38.902255
2,2000,16,4.361,128234986,264849,1000000007,25635361377,1000000007,114.076788
2,1000,1,3.156,130069523,790742,2000000007,46042124948,2000000007,35.924229
2,1400,1,8.683,366584913,2512225,5488000007,126306432184,5488000007,98.645732
2,2000,1,25.307,1116657144,7415893,16000000007,368168163410,16000000007,290.127162
