type,size,cores,time,L1_DCM,L2_DCM,FP_INS,TOT_INS,FP_OPS
1,600,1,0.614,182915865,135173,432000002,6067872618,432000002
1,1000,1,2.887,1108588215,883247,2000000002,28055073701,2000000002
1,1400,1,7.979,3114804403,8818377,5488000002,76939895312,5488000002
1,1800,1,20.735,7010890574,48132769,11664000002,163474327794,11664000002
1,2200,1,39.184,16829648646,129266766,21296000002,298410366374,21296000002
1,2600,1,67.928,31067649127,629573467,35152000002,492500017447,35152000002
1,3000,1,107.032,50627373060,2037961610,54000000002,756495280659,54000000002
1,600,2,0.336,104529682,289654,216000006,3364728711,216000006
1,1000,2,1.586,565022035,254726,1000000006,15545568426,1000000006
1,1400,2,4.465,1565380895,3273305,2744000006,42621265310,2744000006
1,1800,2,11.170,3509217402,16180142,5832000006,90543528776,5832000006
1,2200,2,21.215,8414644092,56301903,10648000006,165264355851,10648000006
1,2600,2,36.377,15539921235,162522549,17576000006,272735749712,17576000006
1,3000,2,57.270,25320208155,516844207,27000000006,418909710751,27000000006
1,600,3,0.248,70078642,231575,144000006,2247098287,144000006
1,1000,3,1.174,377797675,146859,668000006,10395414282,668000006
1,1400,3,3.271,1043595923,2251808,1830640006,28456020693,1830640006
1,1800,3,7.992,2348308585,10521849,3888000006,60398009095,3888000006
1,2200,3,15.233,5612090485,35314503,7105120006,110329574727,7105120006
1,2600,3,26.151,10351053986,134891135,11721840006,181968107934,11721840006
1,3000,3,40.969,16865191835,354619977,18000000006,279372186474,18000000006
1,600,4,0.191,52753504,12419,108000006,1688495818,108000006
1,1000,4,0.893,283078542,114639,500000006,7789313383,500000006
1,1400,4,2.500,782557643,1653359,1372000006,21343003469,1372000006
1,1800,4,6.034,1762528269,7575826,2916000006,45325255200,2916000006
1,2200,4,11.578,4205894744,22337266,5324000006,82712088498,5324000006
1,2600,4,19.864,7761818512,94885519,8788000006,136479473512,8788000006
1,3000,4,31.367,12650825719,308690395,13500000006,209603422982,13500000006
1,600,5,0.165,42145208,83254,86400006,1353461189,86400006
1,1000,5,0.780,226587367,104966,400000006,6238393932,400000006
1,1400,5,2.179,625983867,1334284,1097600006,17089454411,1097600006
1,1800,5,5.195,1414437948,6311585,2332800006,36281603281,2332800006
1,2200,5,9.980,3364609362,16833699,4259200006,66201634310,4259200006
1,2600,5,17.103,6208543876,80508484,7030400006,109228218925,7030400006
1,3000,5,26.789,10118386212,228787199,10800000006,167742166247,10800000006
1,600,6,0.140,35176325,9275,72000006,1129582443,72000006
1,1000,6,0.660,189187908,84801,334000006,5214610268,334000006
1,1400,6,1.841,523297449,1117691,917280006,14290781969,917280006
1,1800,6,4.339,1175410406,5258760,1944000006,30252501632,1944000006
1,2200,6,8.455,2807438528,15341224,3552560006,55244696724,3552560006
1,2600,6,14.443,5183307017,55632876,5867680006,91200465017,5867680006
1,3000,6,22.651,8432947670,183429121,9000000006,139834660501,9000000006
1,600,7,0.122,30268519,7836,61920006,973152600,61920006
1,1000,7,0.573,161942309,72875,286000006,4469873577,286000006
1,1400,7,1.599,447120098,991701,784000006,12223750913,784000006
1,1800,7,3.779,1010987468,4527660,1671840006,26032130592,1671840006
1,2200,7,7.354,2410443164,13883536,3049200006,47439754518,3049200006
1,2600,7,12.653,4443467484,66840539,5029440006,78205812376,5029440006
1,3000,7,19.702,7235906382,151576240,7722000006,120020331484,7722000006
1,600,8,0.106,26327663,7501,54000006,850205231,54000006
1,1000,8,0.515,141637122,57676,250000006,3911515807,250000006
1,1400,8,1.433,391480720,848001,686000006,10703877587,686000006
1,1800,8,3.374,884827082,4059237,1458000006,22716124875,1458000006
1,2200,8,6.558,2103813153,11565159,2662000006,41435953481,2662000006
1,2600,8,11.195,3880856648,47666243,4394000006,68351335388,4394000006
1,3000,8,17.536,6326308787,134140208,6750000006,104950278626,6750000006
1,600,9,0.128,23654352,8215,48240006,762767279,48240006
1,1000,9,0.606,127029977,65052,224000006,3509962702,224000006
1,1400,9,1.743,349192195,794481,611520006,9550870343,611520006
1,1800,9,3.888,780132005,3564550,1296000006,20206099317,1296000006
1,2200,9,7.625,1875184608,10613203,2371600006,36935202583,2371600006
1,2600,9,12.080,3458518069,47085405,3907280006,60806934708,3907280006
1,3000,9,19.795,5658209748,114638551,6012000006,93508205318,6012000006
1,600,10,0.107,21233502,9302,43200006,684554328,43200006
1,1000,10,0.552,120840665,250087,200000006,3135561826,200000006
1,1400,10,1.555,373892837,1145634,548800006,8576050510,548800006
1,1800,10,3.669,709910155,3392851,1166400006,18196398877,1166400006
1,2200,10,6.798,1683672343,11170349,2129600006,33182826542,2129600006
1,2600,10,11.631,3133325183,38184758,3515200006,54725709992,3515200006
1,3000,10,18.856,5087273317,98681286,5400000006,84019653966,5400000006
1,600,11,0.113,21930781,12944,39600006,626569247,39600006
1,1000,11,0.525,103227911,43808,182000006,2858436624,182000006
1,1400,11,1.485,342050990,997153,501760006,7846535466,501760006
1,1800,11,3.447,646752023,2918045,1062720006,16588638628,1062720006
1,2200,11,6.481,1604006725,9923756,1936000006,30178827447,1936000006
1,2600,11,10.787,2854356562,31994043,3204240006,49904333899,3204240006
1,3000,11,17.408,4629572562,81969024,4914000006,76484627130,4914000006
1,600,12,0.111,20514154,14347,36000006,571581311,36000006
1,1000,12,0.497,103147518,673025,168000006,2639161790,168000006
1,1400,12,1.380,261981386,577255,458640006,7179864788,458640006
1,1800,12,3.168,713766871,2183555,972000006,15181849054,972000006
1,2200,12,6.079,1409117928,8597921,1781120006,27779405543,1781120006
1,2600,12,10.335,2618691840,33971146,2933840006,45713933022,2933840006
1,3000,12,16.615,4245488246,83115439,4500000006,70068000984,4500000006
1,600,13,0.101,19455355,15535,33840006,537168682,33840006
1,1000,13,0.502,93367557,183588,154000006,2424086695,154000006
1,1400,13,1.418,306236454,885767,423360006,6630610138,423360006
1,1800,13,3.230,698716041,2850224,900720006,14074414065,900720006
